Index,X,Y,Area
309,2402,2121,212.0
310,1010,2122,196.0
311,1547,2113,2.5
312,3242,2114,61.5
313,1098,2120,319.0
314,1832,2111,36.0
315,2339,2109,14.0
316,2468,2109,111.5
317,3051,2102,3.5
318,1918,2108,211.0
319,1639,2101,11.0
320,2537,2112,1090.0
321,2054,2104,222.0
322,1207,2097,6.5
323,1952,2109,458.5
324,2915,2116,2249.0
325,965,2098,151.0
326,2078,2093,56.0
327,1480,2087,2.0
328,3176,2086,29.5
329,2393,2085,15.0
330,2186,2112,2293.5
331,2227,2081,63.0
332,1837,2079,47.0
333,1241,2085,305.0
334,1485,2075,8.5
335,1287,2086,384.0
336,1696,2136,7566.0
337,2611,2072,50.5
338,1132,2068,11.0
339,2448,2073,209.5
340,1258,2071,84.0
341,2538,2071,199.0
342,2803,2062,5.0
343,1998,2064,17.0
344,1314,2066,55.5
345,2973,2061,11.0
346,1202,2069,298.5
347,2126,2062,80.0
348,1697,2061,77.5
349,1243,2059,35.0
350,1103,2060,185.5
351,3183,2050,21.0
352,1078,2050,34.0
353,3317,2043,7.0
354,1016,2043,6.5
355,2359,2052,510.0
356,2467,2045,187.0
357,2098,2040,37.5
358,2068,2039,55.5
359,1439,2074,2988.0
360,3247,2063,1662.5
361,1410,2037,42.5
362,3003,2036,67.5
363,2775,2035,62.5
364,1606,2059,1765.5
365,1129,2027,11.5
366,1048,2033,391.0
367,2656,2025,78.0
368,3222,2021,12.5
369,2237,2026,282.5
370,2200,2031,635.5
371,1833,2022,163.5
372,915,2016,2.5
373,3181,2021,125.0
374,1174,2020,89.0
375,3381,2013,41.5
376,2911,2039,2253.5
377,2128,2013,215.5
378,1165,2006,3.5
379,2639,2010,149.0
380,2965,2012,378.0
381,2030,2005,29.5
382,1024,2008,145.0
383,2613,2010,321.0
384,2158,2008,553.0
385,2974,1995,4.5
386,1060,1999,122.5
387,1331,1997,203.5
388,1875,2005,941.0
389,2798,1991,64.5
390,2412,1987,37.0
391,3030,1992,428.0
392,1719,1981,1.0
393,2198,1984,72.0
394,1971,1988,332.5
395,806,2002,1167.0
396,1367,1978,2.5
397,3099,1978,33.5
398,1017,1981,81.5
399,1346,1979,75.5
400,2869,1974,3.5
401,2619,1978,92.0
402,2530,1977,76.5
403,1995,1972,45.0
404,1945,1975,152.0
405,2594,1973,104.5
406,1917,1975,163.5
407,1105,1970,76.5
408,2434,1974,316.0
409,1135,1970,117.5
410,2728,1967,137.5
411,892,1963,22.5
412,1050,1963,47.0
413,2334,1963,111.5
414,938,2024,4298.0
415,3364,1976,1029.0
416,1274,1961,268.0
417,1148,1952,2.5
418,927,1951,6.5
419,1659,1958,301.5
420,1057,1951,50.5
421,2530,1947,29.0
422,2137,1957,700.0
423,2265,1956,503.0
424,1832,1956,543.0
425,2320,1944,77.0
426,1788,1943,208.5
427,1033,1943,221.0
428,1289,1934,44.5
429,2615,1941,499.5
430,3223,1932,78.5
431,1486,1929,104.5
432,2219,1931,244.0
433,2809,1920,2.5
434,1255,1927,151.5
435,829,1933,618.0
436,2479,1949,2425.0
437,1891,1920,71.0
438,2935,1916,27.5
439,2160,1915,80.0
440,3089,1911,1.0
441,2802,1911,79.5
442,2226,1909,18.0
443,1886,1904,7.5
444,1228,1907,42.5
445,3371,1912,319.5
446,2994,1929,2567.5
447,974,1903,252.5
448,1129,1895,12.5
449,2694,1913,1777.5
450,3355,1894,28.5
451,3322,1912,1516.5
452,2319,1906,1073.5
453,2209,1889,85.5
454,2777,1887,71.5
455,2889,1914,2289.5
456,2809,1883,174.5
457,2753,1879,39.0
458,1309,1877,157.0
459,2934,1871,17.5
460,2368,1874,99.5
461,2991,1868,73.5
462,2416,1883,1300.5
463,921,1874,435.5
464,1662,1873,434.5
465,3330,1864,97.0
466,2029,1870,474.5
467,1415,1859,5.0
468,2669,1864,240.0
469,2926,1858,34.5
470,769,1857,7.0
471,1157,1878,1623.0
472,1332,1856,88.0
473,1273,1856,27.0
474,1988,1851,5.0
475,2299,1854,102.5
476,2015,1850,14.0
477,2746,1851,71.0
478,2256,1850,42.5
479,953,1859,329.0
480,2465,1856,583.5
481,3126,1844,8.5
482,2958,1847,96.0
483,1409,1842,3.0
484,2707,1844,54.5
485,2285,1843,8.0
486,2048,1837,7.0
487,3378,1850,794.0
488,1430,1834,3.5
489,2936,1840,179.5
490,1818,1842,359.5
491,1711,1838,126.5
492,1552,1840,754.5
493,2604,1854,2283.5
494,1834,1824,1.5
495,2028,1830,185.0
496,1471,1837,756.5
497,3082,1825,70.0
498,2998,1823,77.0
499,2908,1823,164.0
500,2151,1822,111.5
501,1149,1819,86.5
502,2479,1814,7.5
503,2517,1835,1267.0
504,1381,1813,67.0
505,3001,1808,23.5
506,1553,1809,43.0
507,1398,1809,31.0
508,3322,1808,73.5
509,3117,1818,718.0
510,1834,1807,35.0
511,2462,1807,67.0
512,833,1805,22.0
513,737,1813,357.0
514,3288,1807,130.5
515,2178,1814,694.5
516,1173,1806,285.0
517,1590,1801,111.0
518,2796,1813,1292.0
519,2460,1792,4.0
520,994,1789,4.0
521,2973,1798,495.0
522,1563,1792,194.0
523,2512,1789,139.0
524,2073,1791,312.5
525,2492,1782,29.5
526,2623,1784,249.5
527,1163,1783,157.5
528,2010,1786,379.0
529,2237,1786,509.0
530,1560,1773,6.0
531,1084,1788,1040.0
532,3131,1775,97.5
533,1880,1785,760.5
534,2025,1770,26.0
535,2583,1773,247.5
536,2179,1776,362.0
537,849,1769,21.5
538,2994,1769,117.5
539,965,1788,1836.0
540,1657,1781,1453.5
541,2001,1758,2.5
542,2048,1760,85.5
543,2007,1756,1.0
544,2906,1775,789.0
545,3043,1755,61.0
546,3387,1763,679.5
547,2687,1747,3.0
548,2070,1752,92.0
549,1245,1751,99.0
550,2769,1755,364.5
551,2356,1795,6846.0
552,2593,1749,179.0
553,2922,1739,15.5
554,3288,1752,1558.5
555,1490,1734,12.5
556,1519,1742,425.5
557,2196,1728,3.0
558,2384,1728,4.5
559,3189,1790,4212.0
560,3029,1732,121.5
561,1271,1731,97.0
562,2986,1725,9.0
563,2723,1724,83.0
564,3407,1721,45.5
565,2946,1725,207.0
566,1343,1721,86.5
567,912,1729,618.0
568,3456,1733,623.5
569,2713,1716,15.0
